URL,Address,City,Price,Beds,Baths,Ratings
https://www.realtor.com/realestateandhomes-detail/18590-W-Point-Dr_Tinley-Park_IL_60477_M79634-71818,18590 W Point Dr,Tinley Park,165000,2,2,3
https://www.realtor.com/realestateandhomes-detail/1906-S-Austrian-Pine-St_Lockport_IL_60441_M84523-43602,1906 S Austrian Pine St,Lockport,184900,2,3,2
https://www.realtor.com/realestateandhomes-detail/19200-Crescent-Dr_Mokena_IL_60448_M86561-32668,19200 Crescent Dr,Mokena,101000,2,2,4
https://www.realtor.com/realestateandhomes-detail/19739-Cambridge-Dr-1973_Mokena_IL_60448_M89042-16603,19739 Cambridge Dr,Mokena,199900,2,3,2
https://www.realtor.com/realestateandhomes-detail/19806-Wolf-Rd-Apt-203_Mokena_IL_60448_M76065-61885,19806 Wolf Rd Apt 203,Mokena,174900,2,2,2
https://www.realtor.com/realestateandhomes-detail/202-Monroe-Rd_Bolingbrook_IL_60440_M85465-57682,202 Monroe Rd,Bolingbrook,172500,3,3,3
https://www.realtor.com/realestateandhomes-detail/20250-S-Frankfort-Square-Rd_Frankfort_IL_60423_M74332-79991,20250 S Frankfort Sq Rd,Frankfort,180000,3,2,3
https://www.realtor.com/realestateandhomes-detail/20335-S-Rainford-Dr-Apt-1B_Frankfort_IL_60423_M80112-90320,20335 S Rainford Dr Apt 1B,Frankfort,182500,2,2,2
https://www.realtor.com/realestateandhomes-detail/20820-W-Honeysuckle-Ct_Plainfield_IL_60544_M80978-81330,20820 W Honeysuckle Ct,Plainfield,179000,2,2,2
https://www.realtor.com/realestateandhomes-detail/20917-W-Snowberry-Ln_Plainfield_IL_60544_M73228-59078,20917 W Snowberry Ln,Plainfield,198500,2,2,2
https://www.realtor.com/realestateandhomes-detail/21000-W-Braxton-Ln_Plainfield_IL_60544_M88621-70990,21000 W Braxton Ln Unit 21000,Plainfield,195000,2,2,2
https://www.realtor.com/realestateandhomes-detail/2109-S-Austrian-Pine-St_Lockport_IL_60441_M84834-97930,2109 S Austrian Pine St,Lockport,189500,3,3,3
https://www.realtor.com/realestateandhomes-detail/21137-W-Cypress-Ct_Plainfield_IL_60544_M78664-68753,21137 W Cypress Ct,Plainfield,195000,2,2,1
https://www.realtor.com/realestateandhomes-detail/21221-W-Walnut-Dr-Apt-D_Plainfield_IL_60544_M75179-02540,21221 W Walnut Dr Apt D,Plainfield,164900,2,2,2
https://www.realtor.com/realestateandhomes-detail/21305-W-Conifer-Dr_Plainfield_IL_60544_M74751-58504,21305 W Conifer Dr,Plainfield,189995,2,2,2
https://www.realtor.com/realestateandhomes-detail/21433-Frost-Ct_Plainfield_IL_60544_M75038-16013,21433 Frost Ct,Plainfield,184900,3,3,3
https://www.realtor.com/realestateandhomes-detail/21435-Franklin-Cir_Plainfield_IL_60544_M88860-21193,21435 Franklin Cir,Plainfield,152000,3,3,4
https://www.realtor.com/realestateandhomes-detail/21555-W-Empress-Ln_Plainfield_IL_60544_M78126-59178,21555 W Empress Ln,Plainfield,192900,2,2,2
https://www.realtor.com/realestateandhomes-detail/21731-W-Empress-Ln_Plainfield_IL_60544_M83004-51473,21731 W Empress Ln,Plainfield,187000,2,2,2
